ntype_id;enhet_id;enhet_navn
T01;T01-C1;T01-C01   lite uttørkings-eksponerte svært og temmelig kalkfattige nakne berg
T01;T01-C2;T01-C02   uttørkings-eksponerte svært og temmelig kalkfattige berg, bergvegger og knauser
T01;T01-C3;T01-C03   lite uttørkings-eksponerte litt kalkfattige og svakt intermediære nakne berg
T01;T01-C4;T01-C04   uttørkings- eksponerte litt kalkfattige og svakt intermediære berg, bergvegger og knauser
T01;T01-C5;T01-C05   lite uttørkings-eksponerte sterkt og litt kalkrike intermediære nakne berg
T01;T01-C6;T01-C06   uttørkings-eksponerte sterkt intermediære og litt kalkrike berg, bergvegger og knauser
T01;T01-C7;T01-C07   lite uttørkings-eksponerte temmelig til ekstremt kalkrike nakne berg
T01;T01-C8;T01-C08   uttørkings-eksponerte temmelig til ekstremt kalkrike berg, bergvegger og knauser
T01;T01-C9;T01-C09   svakt intermediært og kalkfattig forblåst berg 
T01;T01-C10;T01-C10   sterkt intermediært til ekstremt kalkrikt forblåst berg 
T01;T01-C11;T01-C11   svakt intermediært og kalkfattig snøleieberg 
T01;T01-C12;T01-C12   sterkt intermediært til ekstremt kalkrikt snøleieberg 
T02;T02-C1;T02-C01   åpen kalkfattig grunnlendt lyngmark
T02;T02-C2;T02-C02   åpen kalkfattig grunnlendt lavmark
T02;T02-C3;T02-C03   åpen intermediær grunnlendt lyngmark
T02;T02-C4;T02-C04   åpen intermediær grunnlendt lavmark
T02;T02-C5;T02-C05   åpen svakt kalkrik grunnlendt lyngmark
T02;T02-C6;T02-C06   åpen svakt kalkrik grunnlendt lavmark
T02;T02-C7;T02-C07   åpen sterkt kalkrik grunnlendt lyngmark
T02;T02-C8;T02-C08   åpen sterkt kalkrik grunnlendt lavmark
T03;T03-C1;T03-C01   kalkfattig leside
T03;T03-C2;T03-C02   kalkfattig fjell-lynghei
T03;T03-C3;T03-C03   kalkfattig fjell-lavhei
T03;T03-C4;T03-C04   intermediær leside
T03;T03-C5;T03-C05   intermediær fjell-lynghei
T03;T03-C6;T03-C06   intermediær fjell-lavhei
T03;T03-C7;T03-C07   svakt kalkrik leside
T03;T03-C8;T03-C08   svakt kalkrik fjell-lynghei
